"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"2","0.163847","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.163? Tell 192.168.1.1"
"3","0.163847","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.232? Tell 192.168.1.1"
"4","0.163900","IntelCor_bf:bd:4b","Technico_a3:f2:0e","ARP","42","192.168.1.163 is at 14:4f:8a:bf:bd:4b"
"5","0.998503","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"6","1.214100","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.23? Tell 192.168.1.1"
"7","1.997275","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"8","2.997596","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"9","3.235702","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.23? Tell 192.168.1.1"
"10","3.235702","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.27? Tell 192.168.1.1"
"11","3.999630","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"12","4.647120","192.168.1.163","149.154.167.43","TCP","54","60990  >  443 [FIN, ACK] Seq=1 Ack=1 Win=516 Len=0"
"13","4.682512","149.154.167.43","192.168.1.163","TCP","60","443  >  60990 [FIN, ACK] Seq=1 Ack=2 Win=2182 Len=0"
"14","4.682579","192.168.1.163","149.154.167.43","TCP","54","60990  >  443 [ACK] Seq=2 Ack=2 Win=516 Len=0"
"15","4.999628","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"16","5.285116","192.168.1.232","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"17","5.285116","192.168.1.232","224.0.0.251","MDNS","126","Standard query 0x0000 SRV chromecast-6d45b356f4051a7eb482516eb3104b9b._googlecast._tcp.local, ""QM"" question"
"18","5.285116","192.168.1.232","224.0.0.251","MDNS","388","Standard query response 0x0000 PTR Chromecast-6d45b356f4051a7eb482516eb3104b9b._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 6d45b356-f405-1a7e-b482-516eb3104b9b.local A, cache flush 192.168.1.232"
"19","5.285116","192.168.1.232","224.0.0.251","MDNS","193","Standard query response 0x0000 SRV, cache flush 0 0 8009 6d45b356-f405-1a7e-b482-516eb3104b9b.local A, cache flush 192.168.1.232"
"20","5.999926","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"21","6.442368","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"22","6.442368","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"23","6.444113","192.168.1.69","239.255.255.250","SSDP","493","NOTIFY * HTTP/1.1 "
"24","6.444113","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"25","6.444113","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"26","6.446073","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"27","6.446073","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"28","6.446073","192.168.1.69","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"29","6.543043","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"30","6.543043","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"31","6.543043","192.168.1.69","239.255.255.250","SSDP","493","NOTIFY * HTTP/1.1 "
"32","6.544727","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"33","6.544727","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"34","6.544727","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"35","6.546895","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"36","6.546895","192.168.1.69","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"37","6.568140","192.168.1.163","17.57.146.55","TLSv1.2","155","Application Data"
"38","6.606042","17.57.146.55","192.168.1.163","TLSv1.2","107","Application Data"
"39","6.646414","192.168.1.163","17.57.146.55","TCP","54","49852  >  5223 [ACK] Seq=102 Ack=54 Win=64319 Len=0"
"40","6.997024","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"41","7.997037","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"42","8.151148","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.17? Tell 192.168.1.1"
"43","8.151148","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.204? Tell 192.168.1.1"
"44","8.997638","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"45","9.998769","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"46","10.198969","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.128? Tell 192.168.1.1"
"47","10.997464","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"48","11.006966","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"49","11.006966","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"50","11.006966","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"51","11.006966","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"52","11.006966","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"53","11.006966","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"54","11.096707","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"55","11.096707","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"56","11.096707","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"57","11.097743","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"58","11.097743","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"59","11.097743","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"60","11.997225","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"61","12.467463","192.168.1.163","149.154.167.91","SSL","335","Continuation Data"
"62","12.502576","149.154.167.91","192.168.1.163","SSL","207","Continuation Data"
"63","12.502576","149.154.167.91","192.168.1.163","TCP","60","443  >  52005 [ACK] Seq=1 Ack=282 Win=5692 Len=0"
"64","12.502648","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=282 Ack=154 Win=509 Len=0"
"65","12.526764","149.154.167.91","192.168.1.163","SSL","143","Continuation Data"
"66","12.526821","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=282 Ack=243 Win=509 Len=0"
"67","12.624302","192.168.1.163","149.154.167.91","SSL","610","Continuation Data"
"68","12.656260","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.69? Tell 192.168.1.1"
"69","12.656260","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.136? Tell 192.168.1.1"
"70","12.659374","149.154.167.91","192.168.1.163","TCP","60","443  >  52005 [ACK] Seq=243 Ack=838 Win=5727 Len=0"
"71","12.662412","149.154.167.91","192.168.1.163","SSL","255","Continuation Data"
"72","12.665637","149.154.167.91","192.168.1.163","SSL","175","Continuation Data"
"73","12.665637","149.154.167.91","192.168.1.163","SSL","239","Continuation Data"
"74","12.665949","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=838 Ack=750 Win=513 Len=0"
"75","12.675195","149.154.167.91","192.168.1.163","SSL","527","Continuation Data"
"76","12.675421","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=838 Ack=1223 Win=511 Len=0"
"77","12.681555","149.154.167.91","192.168.1.163","SSL","159","Continuation Data"
"78","12.684639","149.154.167.91","192.168.1.163","SSL","1170","Continuation Data"
"79","12.685108","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=838 Ack=2444 Win=513 Len=0"
"80","12.728399","192.168.1.163","149.154.167.91","SSL","511","Continuation Data"
"81","12.763847","149.154.167.91","192.168.1.163","TCP","60","443  >  52005 [ACK] Seq=2444 Ack=1295 Win=5763 Len=0"
"82","12.774811","149.154.167.91","192.168.1.163","SSL","239","Continuation Data"
"83","12.817866","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=1295 Ack=2629 Win=512 Len=0"
"84","12.998149","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"85","13.679746","Technico_a3:f2:0e","Broadcast","ARP","60","Who has 192.168.1.147? Tell 192.168.1.1"
"86","13.998676","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
