"No.","Time","Source","Destination","Protocol","Length","Info"
"65","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"66","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"67","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"68","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"69","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"70","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"71","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"72","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"73","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"74","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"75","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"76","4.536992","192.168.1.163","149.154.167.43","TCP","54","51142  >  443 [ACK] Seq=608 Ack=42536 Win=132096 Len=0"
"77","4.542085","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"78","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"79","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"80","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"81","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"82","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"83","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"84","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"85","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"86","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"87","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"88","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"89","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"90","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"91","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"92","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"93","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"94","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"95","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"96","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"97","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"98","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"99","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"100","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"101","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"102","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"103","4.573524","149.154.167.43","192.168.1.163","SSL","650","Continuation Data"
"104","4.573845","192.168.1.163","149.154.167.43","TCP","54","51142  >  443 [ACK] Seq=608 Ack=79432 Win=132096 Len=0"
"105","5.540763","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"106","6.540411","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"107","7.100309","192.168.1.163","35.186.227.140","TLSv1.2","93","Application Data"
"108","7.117213","35.186.227.140","192.168.1.163","TCP","60","443  >  51122 [ACK] Seq=1 Ack=40 Win=285 Len=0"
"109","7.117213","35.186.227.140","192.168.1.163","TLSv1.2","93","Application Data"
"110","7.168305","192.168.1.163","35.186.227.140","TCP","54","51122  >  443 [ACK] Seq=40 Ack=40 Win=512 Len=0"
"111","7.540886","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"112","8.321618","192.168.1.163","157.240.231.15","TLSv1.2","86","Application Data"
"113","8.344610","52.33.112.155","192.168.1.163","TLSv1.2","85","Encrypted Alert"
"114","8.345304","192.168.1.163","52.33.112.155","TLSv1.2","85","Encrypted Alert"
"115","8.345345","192.168.1.163","52.33.112.155","TCP","54","51121  >  443 [FIN, ACK] Seq=32 Ack=32 Win=513 Len=0"
"116","8.372436","157.240.231.15","192.168.1.163","TLSv1.2","82","Application Data"
"117","8.415078","192.168.1.163","157.240.231.15","TCP","54","55966  >  443 [ACK] Seq=33 Ack=29 Win=513 Len=0"
"118","8.532303","52.33.112.155","192.168.1.163","TCP","60","443  >  51121 [ACK] Seq=32 Ack=32 Win=120 Len=0"
"119","8.532303","52.33.112.155","192.168.1.163","TCP","60","443  >  51121 [FIN, ACK] Seq=32 Ack=32 Win=120 Len=0"
